sequence,v115@ShA8EeC8AeC8AeE8JeZEJvhFflB0gBSnBTjBmmBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFWlB3hBcnBTjBilBFrB,v115@ShA8EeC8AeC8AeE8JeZEJvhFflBumBcnBTjBarBlqB,v115@ShA8EeC8AeC8AeE8Je3BJvhFcnBTjBxkBOpBilBFrB
SZJITOL,X,O,O,X
SZJILTO,X,X,O,X
SZJILOT,O,O,O,X
SZJIOTL,X,O,O,O
SZJIOLT,O,O,O,O
SZJLTIO,X,X,O,X
SZJLTOI,X,X,O,X
SZJLITO,X,X,O,X
SZJLIOT,O,O,O,X
SZJLOTI,X,X,O,X
SZJLOIT,O,O,O,X
SZJOTIL,X,O,O,X
SZJOTLI,X,O,O,X
SZJOITL,X,O,O,O
SZJOILT,O,O,O,O
SZJOLTI,X,X,O,X
SZJOLIT,O,O,O,X
SZOTILJ,O,O,O,O
SZOTIJL,O,O,O,O
SZOTLIJ,O,O,O,O
SZOTLJI,O,O,O,X
SZOTJIL,O,O,O,O
SZOTJLI,O,O,O,X
SZOITLJ,O,O,O,O
SZOITJL,O,O,O,O
SZOILTJ,O,X,O,O
SZOILJT,O,O,O,O
SZOIJTL,X,O,O,O
SZOIJLT,O,O,O,O
SZOLTIJ,O,X,O,X
SZOLTJI,O,X,O,X
SZOLITJ,O,X,O,O
SZOLIJT,O,O,O,O
SZOLJTI,X,X,O,X
SZOLJIT,O,O,O,X
SZOJTIL,X,O,O,X
SZOJTLI,X,O,O,X
SZOJITL,X,O,O,O
SZOJILT,O,O,O,O
SZOJLTI,X,X,O,X
SZOJLIT,O,O,O,X
SOTILJZ,O,X,X,X
SOTILZJ,O,X,O,X
SOTIJLZ,O,X,X,X
SOTIJZL,O,O,X,X
SOTIZLJ,O,O,O,O
SOTIZJL,O,O,O,O
SOTLIJZ,O,X,X,X
SOTLIZJ,O,X,O,X
SOTLJIZ,O,X,X,X
SOTLJZI,O,X,X,X
SOTLZIJ,O,X,O,X
SOTLZJI,O,X,O,X
SOTJILZ,O,X,X,X
SOTJIZL,O,O,X,X
SOTJLIZ,O,X,X,X
SOTJLZI,O,X,X,X
SOTJZIL,O,O,X,X
SOTJZLI,O,O,X,X
SOTZILJ,O,O,O,O
SOTZIJL,O,O,O,O
SOTZLIJ,O,O,O,O
SOTZLJI,O,O,O,X
SOTZJIL,O,O,O,O
SOTZJLI,O,O,O,X
SOITLJZ,O,X,X,X
SOITLZJ,O,X,O,X
SOITJLZ,O,X,X,X
SOITJZL,O,O,X,X
SOITZLJ,O,O,O,O
SOITZJL,O,O,O,O
SOILTJZ,O,X,X,X
SOILTZJ,O,X,O,X
SOILJTZ,O,X,X,X
SOILJZT,O,X,O,X
SOILZTJ,O,X,O,X
SOILZJT,O,X,O,X
SOIJTLZ,O,X,X,X
SOIJTZL,O,O,X,X
SOIJLTZ,O,X,X,X
SOIJLZT,O,X,O,X
SOIJZTL,X,O,O,X
SOIJZLT,O,O,O,X
SOIZTLJ,O,O,O,O
SOIZTJL,O,O,O,O
SOIZLTJ,O,X,O,O
SOIZLJT,O,O,O,O
SOIZJTL,X,O,O,O
SOIZJLT,O,O,O,O
SOLTIJZ,O,X,X,X
SOLTIZJ,O,X,O,X
SOLTJIZ,O,X,X,X
SOLTJZI,O,X,X,X
SOLTZIJ,O,X,O,X
SOLTZJI,O,X,O,X
SOLITJZ,O,X,X,X
SOLITZJ,O,X,O,X
SOLIJTZ,O,X,X,X
SOLIJZT,O,X,O,X
SOLIZTJ,O,X,O,X
SOLIZJT,O,X,O,X
SOLJTIZ,O,X,X,X
SOLJTZI,O,X,X,X
SOLJITZ,O,X,X,X
SOLJIZT,O,X,O,X
SOLJZTI,X,X,O,X
SOLJZIT,O,X,O,X
SOLZTIJ,O,X,O,X
SOLZTJI,O,X,O,X
SOLZITJ,O,X,O,X
SOLZIJT,O,X,O,X
SOLZJTI,X,X,O,X
SOLZJIT,O,X,O,X
SOJTILZ,O,X,X,X
SOJTIZL,O,O,X,X
SOJTLIZ,O,X,X,X
SOJTLZI,O,X,X,X
SOJTZIL,O,O,X,X
SOJTZLI,O,O,X,X
SOJITLZ,O,X,X,X
SOJITZL,O,O,X,X
SOJILTZ,O,X,X,X
SOJILZT,O,X,O,X
SOJIZTL,X,O,O,X
SOJIZLT,O,O,O,X
SOJLTIZ,O,X,X,X
SOJLTZI,O,X,X,X
SOJLITZ,O,X,X,X
SOJLIZT,O,X,O,X
SOJLZTI,X,X,O,X
SOJLZIT,O,X,O,X
SOJZTIL,X,O,O,X
SOJZTLI,X,O,O,X
SOJZITL,X,O,O,X
SOJZILT,O,O,O,X
SOJZLTI,X,X,O,X
SOJZLIT,O,O,O,X
SOZTILJ,O,O,O,O
SOZTIJL,O,O,O,O
SOZTLIJ,O,O,O,O
SOZTLJI,O,O,O,X
SOZTJIL,O,O,O,O
SOZTJLI,O,O,O,X
SOZITLJ,O,O,O,O
SOZITJL,O,O,O,O
SOZILTJ,O,X,O,O
SOZILJT,O,O,O,O
SOZIJTL,X,O,O,O
SOZIJLT,O,O,O,O
SOZLTIJ,O,X,O,X
SOZLTJI,O,X,O,X
SOZLITJ,O,X,O,O
SOZLIJT,O,O,O,O
SOZLJTI,X,X,O,X
SOZLJIT,O,O,O,X
SOZJTIL,X,O,O,X
SOZJTLI,X,O,O,X
SOZJITL,X,O,O,O
SOZJILT,O,O,O,O
SOZJLTI,X,X,O,X
SOZJLIT,O,O,O,X
ZTILJSO,X,O,O,X
ZTILJOS,X,O,O,X
ZTILSJO,O,O,O,X
ZTILSOJ,O,O,O,O
ZTILOJS,X,O,O,X
ZTILOSJ,O,O,O,O
ZTIJLSO,X,O,O,X
ZTIJLOS,X,O,O,X
ZTIJSLO,X,O,O,X
ZTIJSOL,X,O,O,O
ZTIJOLS,X,O,O,X
ZTIJOSL,X,O,O,O
ZTISLJO,O,O,O,X
ZTISLOJ,O,O,O,O
ZTISJLO,O,O,O,X
ZTISJOL,O,O,O,O
ZTISOLJ,O,O,O,O
ZTISOJL,O,O,O,O
ZTIOLJS,X,O,O,X
ZTIOLSJ,O,O,O,O
ZTIOJLS,X,O,O,X
ZTIOJSL,X,O,O,O
ZTIOSLJ,O,O,O,O
ZTIOSJL,O,O,O,O
ZTLIJSO,X,O,O,X
ZTLIJOS,X,O,O,X
ZTLISJO,O,O,O,X
ZTLISOJ,O,O,O,O
ZTLIOJS,X,O,O,X
ZTLIOSJ,O,O,O,O
ZTLJISO,X,O,O,X
ZTLJIOS,X,O,O,X
ZTLJSIO,X,O,O,X
ZTLJSOI,X,O,O,X
ZTLJOIS,X,O,O,X
ZTLJOSI,X,O,O,X
ZTLSIJO,O,O,O,X
ZTLSIOJ,O,O,O,O
ZTLSJIO,O,O,O,X
ZTLSJOI,O,O,O,X
ZTLSOIJ,O,O,O,O
ZTLSOJI,O,O,O,X
ZTLOIJS,X,O,O,X
ZTLOISJ,O,O,O,O
ZTLOJIS,X,O,O,X
ZTLOJSI,X,O,O,X
ZTLOSIJ,O,O,O,O
ZTLOSJI,O,O,O,X
ZTJILSO,X,O,O,X
ZTJILOS,X,O,O,X
ZTJISLO,X,O,O,X
ZTJISOL,X,O,O,O
ZTJIOLS,X,O,O,X
ZTJIOSL,X,O,O,O
ZTJLISO,X,O,O,X
ZTJLIOS,X,O,O,X
ZTJLSIO,X,O,O,X
ZTJLSOI,X,O,O,X
ZTJLOIS,X,O,O,X
ZTJLOSI,X,O,O,X
ZTJSILO,X,O,O,X
ZTJSIOL,X,O,O,O
ZTJSLIO,X,O,O,X
ZTJSLOI,X,O,O,X
ZTJSOIL,X,O,O,O
ZTJSOLI,X,O,O,X
ZTJOILS,X,O,O,X
ZTJOISL,X,O,O,O
ZTJOLIS,X,O,O,X
ZTJOLSI,X,O,O,X
ZTJOSIL,X,O,O,O
ZTJOSLI,X,O,O,X
ZTSILJO,O,O,O,X
ZTSILOJ,O,O,O,O
ZTSIJLO,O,O,O,X
ZTSIJOL,O,O,O,O
ZTSIOLJ,O,O,O,O
ZTSIOJL,O,O,O,O
ZTSLIJO,O,O,O,X
ZTSLIOJ,O,O,O,O
ZTSLJIO,O,O,O,X
ZTSLJOI,O,O,O,X
ZTSLOIJ,O,O,O,O
ZTSLOJI,O,O,O,X
ZTSJILO,O,O,O,X
ZTSJIOL,O,O,O,O
ZTSJLIO,O,O,O,X
ZTSJLOI,O,O,O,X
ZTSJOIL,O,O,O,O
ZTSJOLI,O,O,O,X
ZTSOILJ,O,O,O,O
ZTSOIJL,O,O,O,O
ZTSOLIJ,O,O,O,O
ZTSOLJI,O,O,O,X
ZTSOJIL,O,O,O,O
ZTSOJLI,O,O,O,X
ZTOILJS,X,O,O,X
ZTOILSJ,O,O,O,O
ZTOIJLS,X,O,O,X
ZTOIJSL,X,O,O,O
ZTOISLJ,O,O,O,O
ZTOISJL,O,O,O,O
ZTOLIJS,X,O,O,X
ZTOLISJ,O,O,O,O
ZTOLJIS,X,O,O,X
ZTOLJSI,X,O,O,X
ZTOLSIJ,O,O,O,O
ZTOLSJI,O,O,O,X
ZTOJILS,X,O,O,X
ZTOJISL,X,O,O,O
ZTOJLIS,X,O,O,X
ZTOJLSI,X,O,O,X
ZTOJSIL,X,O,O,O
ZTOJSLI,X,O,O,X
ZTOSILJ,O,O,O,O
ZTOSIJL,O,O,O,O
ZTOSLIJ,O,O,O,O
ZTOSLJI,O,O,O,X
ZTOSJIL,O,O,O,O
ZTOSJLI,O,O,O,X
ZITLJSO,X,O,O,X
ZITLJOS,X,O,O,X
ZITLSJO,O,O,O,X
ZITLSOJ,O,O,O,O
ZITLOJS,X,O,O,X
ZITLOSJ,O,O,O,O
ZITJLSO,X,O,O,X
ZITJLOS,X,O,O,X
ZITJSLO,X,O,O,X
ZITJSOL,X,O,O,O
ZITJOLS,X,O,O,X
ZITJOSL,X,O,O,O
ZITSLJO,O,O,O,X
ZITSLOJ,O,O,O,O
ZITSJLO,O,O,O,X
ZITSJOL,O,O,O,O
ZITSOLJ,O,O,O,O
ZITSOJL,O,O,O,O
ZITOLJS,X,O,O,X
ZITOLSJ,O,O,O,O
ZITOJLS,X,O,O,X
ZITOJSL,X,O,O,O
ZITOSLJ,O,O,O,O
ZITOSJL,O,O,O,O
ZILTJSO,X,O,O,X
ZILTJOS,X,O,O,X
ZILTSJO,O,O,O,X
ZILTSOJ,O,O,O,O
ZILTOJS,X,O,O,X
ZILTOSJ,O,O,O,O
ZILJTSO,X,O,O,X
ZILJTOS,X,O,O,X
ZILJSTO,X,X,O,X
ZILJSOT,X,O,O,X
ZILJOTS,X,O,O,X
ZILJOST,X,O,O,X
ZILSTJO,O,X,O,X
ZILSTOJ,O,X,O,X
ZILSJTO,X,X,O,X
ZILSJOT,O,O,O,X
ZILSOTJ,O,X,O,O
ZILSOJT,O,O,O,O
ZILOTJS,X,O,O,X
ZILOTSJ,O,O,O,O
ZILOJTS,X,O,O,X
ZILOJST,X,O,O,X
ZILOSTJ,O,X,O,O
ZILOSJT,O,O,O,O
ZIJTLSO,X,O,O,X
ZIJTLOS,X,O,O,X
ZIJTSLO,X,O,O,X
ZIJTSOL,X,O,O,O
ZIJTOLS,X,O,O,X
ZIJTOSL,X,O,O,O
ZIJLTSO,X,O,O,X
ZIJLTOS,X,O,O,X
ZIJLSTO,X,X,O,X
ZIJLSOT,X,O,O,X
ZIJLOTS,X,O,O,X
ZIJLOST,X,O,O,X
ZIJSTLO,X,O,O,X
ZIJSTOL,X,O,O,X
ZIJSLTO,X,X,O,X
ZIJSLOT,X,O,O,X
ZIJSOTL,X,O,O,O
ZIJSOLT,X,O,O,O
ZIJOTLS,X,O,O,X
ZIJOTSL,X,O,O,O
ZIJOLTS,X,O,O,X
ZIJOLST,X,O,O,X
ZIJOSTL,X,O,O,O
ZIJOSLT,X,O,O,O
ZISTLJO,O,O,O,X
ZISTLOJ,O,O,O,O
ZISTJLO,O,O,O,X
ZISTJOL,O,O,O,O
ZISTOLJ,O,O,O,O
ZISTOJL,O,O,O,O
ZISLTJO,O,X,O,X
ZISLTOJ,O,X,O,X
ZISLJTO,X,X,O,X
ZISLJOT,O,O,O,X
ZISLOTJ,O,X,O,O
ZISLOJT,O,O,O,O
ZISJTLO,X,O,O,X
ZISJTOL,X,O,O,X
ZISJLTO,X,X,O,X
ZISJLOT,O,O,O,X
ZISJOTL,X,O,O,O
ZISJOLT,O,O,O,O
ZISOTLJ,O,O,O,O
ZISOTJL,O,O,O,O
ZISOLTJ,O,X,O,O
ZISOLJT,O,O,O,O
ZISOJTL,X,O,O,O
ZISOJLT,O,O,O,O
ZIOTLJS,X,O,O,X
ZIOTLSJ,O,O,O,O
ZIOTJLS,X,O,O,X
ZIOTJSL,X,O,O,O
ZIOTSLJ,O,O,O,O
ZIOTSJL,O,O,O,O
ZIOLTJS,X,O,O,X
ZIOLTSJ,O,O,O,O
ZIOLJTS,X,O,O,X
ZIOLJST,X,O,O,X
ZIOLSTJ,O,X,O,O
ZIOLSJT,O,O,O,O
ZIOJTLS,X,O,O,X
ZIOJTSL,X,O,O,O
ZIOJLTS,X,O,O,X
ZIOJLST,X,O,O,X
ZIOJSTL,X,O,O,O
ZIOJSLT,X,O,O,O
ZIOSTLJ,O,O,O,O
ZIOSTJL,O,O,O,O
ZIOSLTJ,O,X,O,O
ZIOSLJT,O,O,O,O
ZIOSJTL,X,O,O,O
ZIOSJLT,O,O,O,O
ZLTIJSO,X,O,O,X
ZLTIJOS,X,O,O,X
ZLTISJO,O,O,O,X
ZLTISOJ,O,O,O,O
ZLTIOJS,X,O,O,X
ZLTIOSJ,O,O,O,O
ZLTJISO,X,O,O,X
ZLTJIOS,X,O,O,X
ZLTJSIO,X,O,O,X
ZLTJSOI,X,O,O,X
ZLTJOIS,X,O,O,X
ZLTJOSI,X,O,O,X
ZLTSIJO,O,O,O,X
ZLTSIOJ,O,O,O,O
ZLTSJIO,O,O,O,X
ZLTSJOI,O,O,O,X
ZLTSOIJ,O,O,O,O
ZLTSOJI,O,O,O,X
ZLTOIJS,X,O,O,X
ZLTOISJ,O,O,O,O
ZLTOJIS,X,O,O,X
ZLTOJSI,X,O,O,X
ZLTOSIJ,O,O,O,O
ZLTOSJI,O,O,O,X
ZLITJSO,X,O,O,X
ZLITJOS,X,O,O,X
ZLITSJO,O,O,O,X
ZLITSOJ,O,O,O,O
ZLITOJS,X,O,O,X
ZLITOSJ,O,O,O,O
ZLIJTSO,X,O,O,X
ZLIJTOS,X,O,O,X
ZLIJSTO,X,X,O,X
ZLIJSOT,X,O,O,X
ZLIJOTS,X,O,O,X
ZLIJOST,X,O,O,X
ZLISTJO,O,X,O,X
ZLISTOJ,O,X,O,X
ZLISJTO,X,X,O,X
ZLISJOT,O,O,O,X
ZLISOTJ,O,X,O,O
ZLISOJT,O,O,O,O
ZLIOTJS,X,O,O,X
ZLIOTSJ,O,O,O,O
ZLIOJTS,X,O,O,X
ZLIOJST,X,O,O,X
ZLIOSTJ,O,X,O,O
ZLIOSJT,O,O,O,O
ZLJTISO,X,O,O,X
ZLJTIOS,X,O,O,X
ZLJTSIO,X,O,O,X
ZLJTSOI,X,O,O,X
ZLJTOIS,X,O,O,X
ZLJTOSI,X,O,O,X
ZLJITSO,X,O,O,X
ZLJITOS,X,O,O,X
ZLJISTO,X,X,O,X
ZLJISOT,X,O,O,X
ZLJIOTS,X,O,O,X
ZLJIOST,X,O,O,X
ZLJSTIO,X,X,O,X
ZLJSTOI,X,X,O,X
ZLJSITO,X,X,O,X
ZLJSIOT,X,O,O,X
ZLJSOTI,X,X,O,X
ZLJSOIT,X,O,O,X
ZLJOTIS,X,O,O,X
ZLJOTSI,X,O,O,X
ZLJOITS,X,O,O,X
ZLJOIST,X,O,O,X
ZLJOSTI,X,X,O,X
ZLJOSIT,X,O,O,X
ZLSTIJO,O,X,O,X
ZLSTIOJ,O,X,O,X
ZLSTJIO,O,X,O,X
ZLSTJOI,O,X,O,X
ZLSTOIJ,O,X,O,X
ZLSTOJI,O,X,O,X
ZLSITJO,O,X,O,X
ZLSITOJ,O,X,O,X
ZLSIJTO,X,X,O,X
ZLSIJOT,O,O,O,X
ZLSIOTJ,O,X,O,O
ZLSIOJT,O,O,O,O
ZLSJTIO,X,X,O,X
ZLSJTOI,X,X,O,X
ZLSJITO,X,X,O,X
ZLSJIOT,O,O,O,X
ZLSJOTI,X,X,O,X
ZLSJOIT,O,O,O,X
ZLSOTIJ,O,X,O,X
ZLSOTJI,O,X,O,X
ZLSOITJ,O,X,O,O
ZLSOIJT,O,O,O,O
ZLSOJTI,X,X,O,X
ZLSOJIT,O,O,O,X
ZLOTIJS,X,O,O,X
ZLOTISJ,O,O,O,O
ZLOTJIS,X,O,O,X
ZLOTJSI,X,O,O,X
ZLOTSIJ,O,O,O,O
ZLOTSJI,O,O,O,X
ZLOITJS,X,O,O,X
ZLOITSJ,O,O,O,O
ZLOIJTS,X,O,O,X
ZLOIJST,X,O,O,X
ZLOISTJ,O,X,O,O
ZLOISJT,O,O,O,O
ZLOJTIS,X,O,O,X
ZLOJTSI,X,O,O,X
ZLOJITS,X,O,O,X
ZLOJIST,X,O,O,X
ZLOJSTI,X,X,O,X
ZLOJSIT,X,O,O,X
ZLOSTIJ,O,X,O,X
ZLOSTJI,O,X,O,X
ZLOSITJ,O,X,O,O
ZLOSIJT,O,O,O,O
ZLOSJTI,X,X,O,X
ZLOSJIT,O,O,O,X
ZJTILSO,X,O,O,X
ZJTILOS,X,O,O,X
ZJTISLO,X,O,O,X
ZJTISOL,X,O,O,O
ZJTIOLS,X,O,O,X
ZJTIOSL,X,O,O,O
ZJTLISO,X,O,O,X
ZJTLIOS,X,O,O,X
ZJTLSIO,X,O,O,X
ZJTLSOI,X,O,O,X
ZJTLOIS,X,O,O,X
ZJTLOSI,X,O,O,X
ZJTSILO,X,O,O,X
ZJTSIOL,X,O,O,O
ZJTSLIO,X,O,O,X
ZJTSLOI,X,O,O,X
ZJTSOIL,X,O,O,O
ZJTSOLI,X,O,O,X
ZJTOILS,X,O,O,X
ZJTOISL,X,O,O,O
ZJTOLIS,X,O,O,X
ZJTOLSI,X,O,O,X
ZJTOSIL,X,O,O,O
ZJTOSLI,X,O,O,X
ZJITLSO,X,O,O,X
ZJITLOS,X,O,O,X
ZJITSLO,X,O,O,X
ZJITSOL,X,O,O,O
ZJITOLS,X,O,O,X
ZJITOSL,X,O,O,O
ZJILTSO,X,O,O,X
ZJILTOS,X,O,O,X
ZJILSTO,X,X,O,X
ZJILSOT,X,O,O,X
ZJILOTS,X,O,O,X
ZJILOST,X,O,O,X
ZJISTLO,X,O,O,X
ZJISTOL,X,O,O,X
ZJISLTO,X,X,O,X
ZJISLOT,X,O,O,X
ZJISOTL,X,O,O,O
ZJISOLT,X,O,O,O
ZJIOTLS,X,O,O,X
ZJIOTSL,X,O,O,O
ZJIOLTS,X,O,O,X
ZJIOLST,X,O,O,X
ZJIOSTL,X,O,O,O
ZJIOSLT,X,O,O,O
ZJLTISO,X,O,O,X
ZJLTIOS,X,O,O,X
ZJLTSIO,X,O,O,X
ZJLTSOI,X,O,O,X
ZJLTOIS,X,O,O,X
ZJLTOSI,X,O,O,X
ZJLITSO,X,O,O,X
ZJLITOS,X,O,O,X
ZJLISTO,X,X,O,X
ZJLISOT,X,O,O,X
ZJLIOTS,X,O,O,X
ZJLIOST,X,O,O,X
ZJLSTIO,X,X,O,X
ZJLSTOI,X,X,O,X
ZJLSITO,X,X,O,X
ZJLSIOT,X,O,O,X
ZJLSOTI,X,X,O,X
ZJLSOIT,X,O,O,X
ZJLOTIS,X,O,O,X
ZJLOTSI,X,O,O,X
ZJLOITS,X,O,O,X
ZJLOIST,X,O,O,X
ZJLOSTI,X,X,O,X
ZJLOSIT,X,O,O,X
ZJSTILO,X,O,O,X
ZJSTIOL,X,O,O,X
ZJSTLIO,X,O,O,X
ZJSTLOI,X,O,O,X
ZJSTOIL,X,O,O,X
ZJSTOLI,X,O,O,X
ZJSITLO,X,O,O,X
ZJSITOL,X,O,O,X
ZJSILTO,X,X,O,X
ZJSILOT,X,O,O,X
ZJSIOTL,X,O,O,O
ZJSIOLT,X,O,O,O
ZJSLTIO,X,X,O,X
ZJSLTOI,X,X,O,X
ZJSLITO,X,X,O,X
ZJSLIOT,X,O,O,X
ZJSLOTI,X,X,O,X
ZJSLOIT,X,O,O,X
ZJSOTIL,X,O,O,X
ZJSOTLI,X,O,O,X
ZJSOITL,X,O,O,O
ZJSOILT,X,O,O,O
ZJSOLTI,X,X,O,X
ZJSOLIT,X,O,O,X
ZJOTILS,X,O,O,X
ZJOTISL,X,O,O,O
ZJOTLIS,X,O,O,X
ZJOTLSI,X,O,O,X
ZJOTSIL,X,O,O,O
ZJOTSLI,X,O,O,X
ZJOITLS,X,O,O,X
ZJOITSL,X,O,O,O
ZJOILTS,X,O,O,X
ZJOILST,X,O,O,X
ZJOISTL,X,O,O,O
ZJOISLT,X,O,O,O
ZJOLTIS,X,O,O,X
ZJOLTSI,X,O,O,X
ZJOLITS,X,O,O,X
ZJOLIST,X,O,O,X
ZJOLSTI,X,X,O,X
ZJOLSIT,X,O,O,X
ZJOSTIL,X,O,O,X
ZJOSTLI,X,O,O,X
ZJOSITL,X,O,O,O
ZJOSILT,X,O,O,O
ZJOSLTI,X,X,O,X
ZJOSLIT,X,O,O,X
ZSTILJO,O,O,O,X
ZSTILOJ,O,O,O,O
ZSTIJLO,O,O,O,X
ZSTIJOL,O,O,O,O
ZSTIOLJ,O,O,O,O
ZSTIOJL,O,O,O,O
ZSTLIJO,O,O,O,X
ZSTLIOJ,O,O,O,O
ZSTLJIO,O,O,O,X
ZSTLJOI,O,O,O,X
ZSTLOIJ,O,O,O,O
ZSTLOJI,O,O,O,X
ZSTJILO,O,O,O,X
ZSTJIOL,O,O,O,O
ZSTJLIO,O,O,O,X
ZSTJLOI,O,O,O,X
ZSTJOIL,O,O,O,O
ZSTJOLI,O,O,O,X
ZSTOILJ,O,O,O,O
ZSTOIJL,O,O,O,O
ZSTOLIJ,O,O,O,O
ZSTOLJI,O,O,O,X
ZSTOJIL,O,O,O,O
ZSTOJLI,O,O,O,X
ZSITLJO,O,O,O,X
ZSITLOJ,O,O,O,O
ZSITJLO,O,O,O,X
ZSITJOL,O,O,O,O
ZSITOLJ,O,O,O,O
ZSITOJL,O,O,O,O
ZSILTJO,O,X,O,X
ZSILTOJ,O,X,O,X
ZSILJTO,X,X,O,X
ZSILJOT,O,O,O,X
ZSILOTJ,O,X,O,O
ZSILOJT,O,O,O,O
ZSIJTLO,X,O,O,X
ZSIJTOL,X,O,O,X
ZSIJLTO,X,X,O,X
ZSIJLOT,O,O,O,X
ZSIJOTL,X,O,O,O
ZSIJOLT,O,O,O,O
ZSIOTLJ,O,O,O,O
ZSIOTJL,O,O,O,O
ZSIOLTJ,O,X,O,O
ZSIOLJT,O,O,O,O
ZSIOJTL,X,O,O,O
ZSIOJLT,O,O,O,O
ZSLTIJO,O,X,O,X
ZSLTIOJ,O,X,O,X
ZSLTJIO,O,X,O,X
ZSLTJOI,O,X,O,X
ZSLTOIJ,O,X,O,X
ZSLTOJI,O,X,O,X
ZSLITJO,O,X,O,X
ZSLITOJ,O,X,O,X
ZSLIJTO,X,X,O,X
ZSLIJOT,O,O,O,X
ZSLIOTJ,O,X,O,O
ZSLIOJT,O,O,O,O
ZSLJTIO,X,X,O,X
ZSLJTOI,X,X,O,X
ZSLJITO,X,X,O,X
ZSLJIOT,O,O,O,X
ZSLJOTI,X,X,O,X
ZSLJOIT,O,O,O,X
ZSLOTIJ,O,X,O,X
ZSLOTJI,O,X,O,X
ZSLOITJ,O,X,O,O
ZSLOIJT,O,O,O,O
ZSLOJTI,X,X,O,X
ZSLOJIT,O,O,O,X
ZSJTILO,X,O,O,X
ZSJTIOL,X,O,O,X
ZSJTLIO,X,O,O,X
ZSJTLOI,X,O,O,X
ZSJTOIL,X,O,O,X
ZSJTOLI,X,O,O,X
ZSJITLO,X,O,O,X
ZSJITOL,X,O,O,X
ZSJILTO,X,X,O,X
ZSJILOT,O,O,O,X
ZSJIOTL,X,O,O,O
ZSJIOLT,O,O,O,O
ZSJLTIO,X,X,O,X
ZSJLTOI,X,X,O,X
ZSJLITO,X,X,O,X
ZSJLIOT,O,O,O,X
ZSJLOTI,X,X,O,X
ZSJLOIT,O,O,O,X
ZSJOTIL,X,O,O,X
ZSJOTLI,X,O,O,X
ZSJOITL,X,O,O,O
ZSJOILT,O,O,O,O
ZSJOLTI,X,X,O,X
ZSJOLIT,O,O,O,X
ZSOTILJ,O,O,O,O
ZSOTIJL,O,O,O,O
ZSOTLIJ,O,O,O,O
ZSOTLJI,O,O,O,X
ZSOTJIL,O,O,O,O
ZSOTJLI,O,O,O,X
ZSOITLJ,O,O,O,O
ZSOITJL,O,O,O,O
ZSOILTJ,O,X,O,O
ZSOILJT,O,O,O,O
ZSOIJTL,X,O,O,O
ZSOIJLT,O,O,O,O
ZSOLTIJ,O,X,O,X
ZSOLTJI,O,X,O,X
ZSOLITJ,O,X,O,O
ZSOLIJT,O,O,O,O
ZSOLJTI,X,X,O,X
ZSOLJIT,O,O,O,X
ZSOJTIL,X,O,O,X
ZSOJTLI,X,O,O,X
ZSOJITL,X,O,O,O
ZSOJILT,O,O,O,O
ZSOJLTI,X,X,O,X
ZSOJLIT,O,O,O,X
ZOTILJS,X,O,O,X
ZOTILSJ,O,O,O,O
ZOTIJLS,X,O,O,X
ZOTIJSL,X,O,O,O
ZOTISLJ,O,O,O,O
ZOTISJL,O,O,O,O
ZOTLIJS,X,O,O,X
ZOTLISJ,O,O,O,O
ZOTLJIS,X,O,O,X
ZOTLJSI,X,O,O,X
ZOTLSIJ,O,O,O,O
ZOTLSJI,O,O,O,X
ZOTJILS,X,O,O,X
ZOTJISL,X,O,O,O
ZOTJLIS,X,O,O,X
ZOTJLSI,X,O,O,X
ZOTJSIL,X,O,O,O
ZOTJSLI,X,O,O,X
ZOTSILJ,O,O,O,O
ZOTSIJL,O,O,O,O
ZOTSLIJ,O,O,O,O
ZOTSLJI,O,O,O,X
ZOTSJIL,O,O,O,O
ZOTSJLI,O,O,O,X
ZOITLJS,X,O,O,X
ZOITLSJ,O,O,O,O
ZOITJLS,X,O,O,X
ZOITJSL,X,O,O,O
ZOITSLJ,O,O,O,O
ZOITSJL,O,O,O,O
ZOILTJS,X,O,O,X
ZOILTSJ,O,O,O,O
ZOILJTS,X,O,O,X
ZOILJST,X,O,O,X
ZOILSTJ,O,X,O,O
ZOILSJT,O,O,O,O
ZOIJTLS,X,O,O,X
ZOIJTSL,X,O,O,O
ZOIJLTS,X,O,O,X
ZOIJLST,X,O,O,X
ZOIJSTL,X,O,O,O
ZOIJSLT,X,O,O,O
ZOISTLJ,O,O,O,O
ZOISTJL,O,O,O,O
ZOISLTJ,O,X,O,O
ZOISLJT,O,O,O,O
ZOISJTL,X,O,O,O
ZOISJLT,O,O,O,O
ZOLTIJS,X,O,O,X
ZOLTISJ,O,O,O,O
ZOLTJIS,X,O,O,X
ZOLTJSI,X,O,O,X
ZOLTSIJ,O,O,O,O
ZOLTSJI,O,O,O,X
ZOLITJS,X,O,O,X
ZOLITSJ,O,O,O,O
ZOLIJTS,X,O,O,X
ZOLIJST,X,O,O,X
ZOLISTJ,O,X,O,O
ZOLISJT,O,O,O,O
ZOLJTIS,X,O,O,X
ZOLJTSI,X,O,O,X
ZOLJITS,X,O,O,X
ZOLJIST,X,O,O,X
ZOLJSTI,X,X,O,X
ZOLJSIT,X,O,O,X
ZOLSTIJ,O,X,O,X
ZOLSTJI,O,X,O,X
ZOLSITJ,O,X,O,O
ZOLSIJT,O,O,O,O
ZOLSJTI,X,X,O,X
