sequence,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeC8DeB8KeuEJvhFzg?BFiB8nB5oB/qBywB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeC8DeB8KeFAJvhFii?B5oBWqB3nBzqB0rB
OLTJISZ,X,X
OLTJIZS,X,X
OLTJSIZ,X,X
OLTJSZI,X,X
OLTJZIS,X,X
OLTJZSI,X,X
OLTSIJZ,X,X
OLTSIZJ,X,X
OLTSJIZ,X,X
OLTSJZI,X,X
OLTSZIJ,X,X
OLTSZJI,X,X
OLTZIJS,X,X
OLTZISJ,X,X
OLTZJIS,X,X
OLTZJSI,X,X
OLTZSIJ,X,X
OLTZSJI,X,X
OLITJSZ,X,X
OLITJZS,X,X
OLITSJZ,X,X
OLITSZJ,X,X
OLITZJS,X,X
OLITZSJ,X,X
OLIJTSZ,X,X
OLIJTZS,X,X
OLIJSTZ,X,X
OLIJSZT,X,X
OLIJZTS,X,X
OLIJZST,X,X
OLISTJZ,X,X
OLISTZJ,X,X
OLISJTZ,X,X
OLISJZT,X,X
OLISZTJ,X,X
OLISZJT,X,X
OLIZTJS,X,X
OLIZTSJ,X,X
OLIZJTS,X,X
OLIZJST,X,X
OLIZSTJ,X,X
OLIZSJT,X,X
OLJTISZ,X,X
OLJTIZS,X,X
OLJTSIZ,X,X
OLJTSZI,X,X
OLJTZIS,X,X
OLJTZSI,X,X
OLJITSZ,X,X
OLJITZS,X,X
OLJISTZ,X,X
OLJISZT,X,X
OLJIZTS,X,X
OLJIZST,X,X
OLJSTIZ,X,X
OLJSTZI,X,X
OLJSITZ,X,X
OLJSIZT,X,X
OLJSZTI,X,X
OLJSZIT,X,X
OLJZTIS,X,X
OLJZTSI,X,X
OLJZITS,X,X
OLJZIST,X,X
OLJZSTI,X,X
OLJZSIT,X,X
OLSTIJZ,X,X
OLSTIZJ,X,X
OLSTJIZ,X,X
OLSTJZI,X,X
OLSTZIJ,X,X
OLSTZJI,X,X
OLSITJZ,X,X
OLSITZJ,X,X
OLSIJTZ,X,X
OLSIJZT,X,X
OLSIZTJ,X,X
OLSIZJT,X,X
OLSJTIZ,X,X
OLSJTZI,X,X
OLSJITZ,X,X
OLSJIZT,X,X
OLSJZTI,X,X
OLSJZIT,X,X
OLSZTIJ,X,X
OLSZTJI,X,X
OLSZITJ,X,X
OLSZIJT,X,X
OLSZJTI,X,X
OLSZJIT,X,X
OLZTIJS,X,X
OLZTISJ,X,X
OLZTJIS,X,X
OLZTJSI,X,X
OLZTSIJ,X,X
OLZTSJI,X,X
OLZITJS,X,X
OLZITSJ,X,X
OLZIJTS,X,X
OLZIJST,X,X
OLZISTJ,X,X
OLZISJT,X,X
OLZJTIS,X,X
OLZJTSI,X,X
OLZJITS,X,X
OLZJIST,X,X
OLZJSTI,X,X
OLZJSIT,X,X
OLZSTIJ,X,X
OLZSTJI,X,X
OLZSITJ,X,X
OLZSIJT,X,X
OLZSJTI,X,X
OLZSJIT,X,X
OJTILSZ,X,X
OJTILZS,X,X
OJTISLZ,X,X
OJTISZL,X,X
OJTIZLS,X,X
OJTIZSL,X,X
OJTLISZ,X,X
OJTLIZS,X,X
OJTLSIZ,X,X
OJTLSZI,X,X
OJTLZIS,X,X
OJTLZSI,X,X
OJTSILZ,X,X
OJTSIZL,X,X
OJTSLIZ,X,X
OJTSLZI,X,X
OJTSZIL,X,X
OJTSZLI,X,X
OJTZILS,X,X
OJTZISL,X,X
OJTZLIS,X,X
OJTZLSI,X,X
OJTZSIL,X,X
OJTZSLI,X,X
OJITLSZ,X,X
OJITLZS,X,X
OJITSLZ,X,X
OJITSZL,X,X
OJITZLS,X,X
OJITZSL,X,X
OJILTSZ,X,X
OJILTZS,X,X
OJILSTZ,X,X
OJILSZT,X,X
OJILZTS,X,X
OJILZST,X,X
OJISTLZ,X,X
OJISTZL,X,X
OJISLTZ,X,X
OJISLZT,X,X
OJISZTL,X,X
OJISZLT,X,X
OJIZTLS,X,X
OJIZTSL,X,X
OJIZLTS,X,X
OJIZLST,X,X
OJIZSTL,X,X
OJIZSLT,X,X
OJLTISZ,X,X
OJLTIZS,X,X
OJLTSIZ,X,X
OJLTSZI,X,X
OJLTZIS,X,X
OJLTZSI,X,X
OJLITSZ,X,X
OJLITZS,X,X
OJLISTZ,X,X
OJLISZT,X,X
OJLIZTS,X,X
OJLIZST,X,X
OJLSTIZ,X,X
OJLSTZI,X,X
OJLSITZ,X,X
OJLSIZT,X,X
OJLSZTI,X,X
OJLSZIT,X,X
OJLZTIS,X,X
OJLZTSI,X,X
OJLZITS,X,X
OJLZIST,X,X
OJLZSTI,X,X
OJLZSIT,X,X
OJSTILZ,X,X
OJSTIZL,X,X
OJSTLIZ,X,X
OJSTLZI,X,X
OJSTZIL,X,X
OJSTZLI,X,X
OJSITLZ,X,X
OJSITZL,X,X
OJSILTZ,X,X
OJSILZT,X,X
OJSIZTL,X,X
OJSIZLT,X,X
OJSLTIZ,X,X
OJSLTZI,X,X
OJSLITZ,X,X
OJSLIZT,X,X
OJSLZTI,X,X
OJSLZIT,X,X
OJSZTIL,X,X
OJSZTLI,X,X
OJSZITL,X,X
OJSZILT,X,X
OJSZLTI,X,X
OJSZLIT,X,X
OJZTILS,X,X
OJZTISL,X,X
OJZTLIS,X,X
OJZTLSI,X,X
OJZTSIL,X,X
OJZTSLI,X,X
OJZITLS,X,X
OJZITSL,X,X
OJZILTS,X,X
OJZILST,X,X
OJZISTL,X,X
OJZISLT,X,X
OJZLTIS,X,X
OJZLTSI,X,X
OJZLITS,X,X
OJZLIST,X,X
OJZLSTI,X,X
OJZLSIT,X,X
OJZSTIL,X,X
OJZSTLI,X,X
OJZSITL,X,X
OJZSILT,X,X
OJZSLTI,X,X
OJZSLIT,X,X
OSTILJZ,X,X
OSTILZJ,X,X
OSTIJLZ,X,X
OSTIJZL,X,X
OSTIZLJ,X,X
OSTIZJL,X,X
OSTLIJZ,X,X
OSTLIZJ,X,X
OSTLJIZ,X,X
OSTLJZI,X,X
OSTLZIJ,X,X
OSTLZJI,X,X
OSTJILZ,X,X
OSTJIZL,X,X
OSTJLIZ,X,X
OSTJLZI,X,X
OSTJZIL,X,X
OSTJZLI,X,X
OSTZILJ,X,X
OSTZIJL,X,X
OSTZLIJ,X,X
OSTZLJI,X,X
OSTZJIL,X,X
OSTZJLI,X,X
OSITLJZ,X,X
OSITLZJ,X,X
OSITJLZ,X,X
OSITJZL,X,X
OSITZLJ,X,X
OSITZJL,X,X
OSILTJZ,X,X
OSILTZJ,X,X
OSILJTZ,X,X
OSILJZT,X,X
OSILZTJ,X,X
OSILZJT,X,X
OSIJTLZ,X,X
OSIJTZL,X,X
OSIJLTZ,X,X
OSIJLZT,X,X
OSIJZTL,X,X
OSIJZLT,X,X
OSIZTLJ,X,X
OSIZTJL,X,X
OSIZLTJ,X,X
OSIZLJT,X,X
OSIZJTL,X,X
OSIZJLT,X,X
OSLTIJZ,X,X
OSLTIZJ,X,X
OSLTJIZ,X,X
OSLTJZI,X,X
OSLTZIJ,X,X
OSLTZJI,X,X
OSLITJZ,X,X
OSLITZJ,X,X
OSLIJTZ,X,X
OSLIJZT,X,X
OSLIZTJ,X,X
OSLIZJT,X,X
OSLJTIZ,X,X
OSLJTZI,X,X
OSLJITZ,X,X
OSLJIZT,X,X
OSLJZTI,X,X
OSLJZIT,X,X
OSLZTIJ,X,X
OSLZTJI,X,X
OSLZITJ,X,X
OSLZIJT,X,X
OSLZJTI,X,X
OSLZJIT,X,X
OSJTILZ,X,X
OSJTIZL,X,X
OSJTLIZ,X,X
OSJTLZI,X,X
OSJTZIL,X,X
OSJTZLI,X,X
OSJITLZ,X,X
OSJITZL,X,X
OSJILTZ,X,X
OSJILZT,X,X
OSJIZTL,X,X
OSJIZLT,X,X
OSJLTIZ,X,X
OSJLTZI,X,X
OSJLITZ,X,X
OSJLIZT,X,X
OSJLZTI,X,X
OSJLZIT,X,X
OSJZTIL,X,X
OSJZTLI,X,X
OSJZITL,X,X
OSJZILT,X,X
OSJZLTI,X,X
OSJZLIT,X,X
OSZTILJ,X,X
OSZTIJL,X,X
OSZTLIJ,X,X
OSZTLJI,X,X
OSZTJIL,X,X
OSZTJLI,X,X
OSZITLJ,X,X
OSZITJL,X,X
OSZILTJ,X,X
OSZILJT,X,X
OSZIJTL,X,X
OSZIJLT,X,X
OSZLTIJ,X,X
OSZLTJI,X,X
OSZLITJ,X,X
OSZLIJT,X,X
OSZLJTI,X,X
OSZLJIT,X,X
OSZJTIL,X,X
OSZJTLI,X,X
OSZJITL,X,X
OSZJILT,X,X
OSZJLTI,X,X
OSZJLIT,X,X
OZTILJS,X,X
OZTILSJ,X,X
OZTIJLS,X,X
OZTIJSL,X,X
OZTISLJ,X,X
OZTISJL,X,X
OZTLIJS,X,X
OZTLISJ,X,X
OZTLJIS,X,X
OZTLJSI,X,X
OZTLSIJ,X,X
OZTLSJI,X,X
OZTJILS,X,X
OZTJISL,X,X
OZTJLIS,X,X
OZTJLSI,X,X
OZTJSIL,X,X
OZTJSLI,X,X
OZTSILJ,X,X
OZTSIJL,X,X
OZTSLIJ,X,X
OZTSLJI,X,X
OZTSJIL,X,X
OZTSJLI,X,X
OZITLJS,X,X
OZITLSJ,X,X
OZITJLS,X,X
OZITJSL,X,X
OZITSLJ,X,X
OZITSJL,X,X
OZILTJS,X,X
OZILTSJ,X,X
OZILJTS,X,X
OZILJST,X,X
OZILSTJ,X,X
OZILSJT,X,X
OZIJTLS,X,X
OZIJTSL,X,X
OZIJLTS,X,X
OZIJLST,X,X
OZIJSTL,X,X
OZIJSLT,X,X
OZISTLJ,X,X
OZISTJL,X,X
OZISLTJ,X,X
OZISLJT,X,X
OZISJTL,X,X
OZISJLT,X,X
OZLTIJS,X,X
OZLTISJ,X,X
OZLTJIS,X,X
OZLTJSI,X,X
OZLTSIJ,X,X
OZLTSJI,X,X
OZLITJS,X,X
OZLITSJ,X,X
OZLIJTS,X,X
OZLIJST,X,X
OZLISTJ,X,X
OZLISJT,X,X
OZLJTIS,X,X
OZLJTSI,X,X
OZLJITS,X,X
OZLJIST,X,X
OZLJSTI,X,X
OZLJSIT,X,X
OZLSTIJ,X,X
OZLSTJI,X,X
OZLSITJ,X,X
OZLSIJT,X,X
OZLSJTI,X,X
OZLSJIT,X,X
OZJTILS,X,X
OZJTISL,X,X
OZJTLIS,X,X
OZJTLSI,X,X
OZJTSIL,X,X
OZJTSLI,X,X
OZJITLS,X,X
OZJITSL,X,X
OZJILTS,X,X
OZJILST,X,X
OZJISTL,X,X
OZJISLT,X,X
OZJLTIS,X,X
OZJLTSI,X,X
OZJLITS,X,X
OZJLIST,X,X
OZJLSTI,X,X
OZJLSIT,X,X
OZJSTIL,X,X
OZJSTLI,X,X
OZJSITL,X,X
OZJSILT,X,X
OZJSLTI,X,X
OZJSLIT,X,X
OZSTILJ,X,X
OZSTIJL,X,X
OZSTLIJ,X,X
OZSTLJI,X,X
OZSTJIL,X,X
OZSTJLI,X,X
OZSITLJ,X,X
OZSITJL,X,X
OZSILTJ,X,X
OZSILJT,X,X
OZSIJTL,X,X
OZSIJLT,X,X
OZSLTIJ,X,X
OZSLTJI,X,X
OZSLITJ,X,X
OZSLIJT,X,X
OZSLJTI,X,X
OZSLJIT,X,X
OZSJTIL,X,X
OZSJTLI,X,X
OZSJITL,X,X
OZSJILT,X,X
OZSJLTI,X,X
OZSJLIT,X,X
