sequence,v115@vhHT1I0fBXiB2pBFrBXsBSyBxuB,v115@vhH87IXhBTjBKpBFqBXrBGtBRxB,v115@vhHOEJ0gBXiBzkBFrBXsBSyBxuB,v115@vhHT1I0fBXhBKpBFqBXrBGtBRxB,v115@vhH5+IflB6nBlmB/tBTpBUrB2xB,v115@vhHcCJTeBZkBWqBFoBXrBXsBSyB,v115@vhHi1IcfBdlBXjB+tBTpB3qBRsB,v115@vhHZ6IflB6nBlmB/tBTpBUrB2xB,v115@vhHz4I+eBXiBcpBFoBxqBXsBSyB,v115@vhH01I/fBTjBKpBFqBXrBGtBRxB,v115@vhHx3IeiBziBKpBfqBUrBFsBXtB,v115@vhHK/IXjB/qBRmB+tBTpB0rBlsB,v115@vhH01I/fBTgBKpBFqBXrBGtBRxB,v115@vhH32I8kBzgBStB2uBlqB3rBxxB,v115@vhHU4IzhBfoB2pBFrBXsBSyBxuB,v115@vhHO6IzfBKpBRmB3nBctBFqBXrB,v115@vhHcCJTeB/kBFoB2uBxqBXsBSyB,v115@vhHz3IOfBXiBcpBFoBxqBXsBSyB,v115@vhHT5I8kBXjBStB2uBlqB3rBxxB,v115@vhHc/I5oBFlB+rB3nBTpB3qByxB,v115@vhH/AJchBOkBzkBFrBXsBSyBxuB,v115@vhH//IcgBTjBKpBFqBXrBGtBRxB,v115@vhHz4I+eBXiBcpBFoBXqBxrBSyB,v115@vhHO7I0fBfmBKpB/sBFqBTtBRwB,v115@vhHz3I+eBXiBcpBFoBxqBXsBSyB,v115@vhHzAJfnBunBKpB/tBUqBFrBRxB,v115@vhHi1I3WBcfBdlB+tBTpB3qBRsB,v115@vhHz4IfnBunBKpB/tBUqBFrBRxB,v115@vhHi1IcfBXjBFlB+tBTpB3qBRsB,v115@vhHe+IzfBfmBKpB/tBFqB0sBRwB,v115@vhHX4IcjBTiBfrBqrB+tBlsBxuB,v115@vhH3/I5oBllB/sBatBTpB2vB0rB,v115@vhH8/ISoB2pBllB3mBXsBTtBRvB,v115@vhHc/I5jBFlB+sBKtBTpB3qB3rB,v115@vhH5+IyfBOpBllB/tBzpBXrB0sB,v115@vhHT5I/fBGjBKpB/tBFqB0sBRwB,v115@vhHO6IckBXmBdsBznB3pBSyBxvB,v115@vhHT7I0fBXhBKpBFqBXrBGtBRxB,v115@vhH5+IzgBWnBikB/tBUqBFrBXsB,v115@vhH0/IzhBfoB2pBNrBXsBSyBxuB,v115@vhHT5IOkBXgBliBcoBRmBXsBSyB,v115@vhH/6IKkBFlBzmBGoBUrB3sBxuB,v115@vhHT1I/kB0mBftB6tB2uBlqBxwB,v115@vhHT6I/gB5oBlkB/rB2uB0qBisB,v115@vhHc/I5jBFlBXmB+sBKtBTpB3rB,v115@vhH8EJzgBXjBStB2uBlqB3rBxxB,v115@vhH0/IzhBfoB2pBFrBXsBSyBxuB,v115@vhH01I/fBTgB2pBFrBXsBSyBxuB,v115@vhHT1I/gB0fB2pBFrBXsBSyBxuB,v115@vhHC2IXbBUhBzkBtqB2uB3rBxxB,v115@vhH/DJWlB/pB0mBlnBiqBTtBxwB,v115@vhH02I/gBOkBzkBFrBXsBSyBxuB,v115@vhHi1IcfBdlBWtBTpB3qB3rBxxB,v115@vhHq7IZkB8nBFlBXmBWvB3rBTtB,v115@vhH01I/fBTgBKpBerB/tBFqBRxB,v115@vhHT1I/kBalBUhBtqB2uB3rBxxB,v115@vhHi1IcfBFlBWtBTpB3qB3rBxxB,v115@vhHT+IfoBKpBUmB/sB+tBFqBRwB,v115@vhHWCJckBXmBdsBznB3pBSyBxvB,v115@vhHO6IzfBfmBKpB/tBFqB0sBRwB,v115@vhH/6IKkBTjBFlBfsBUrBGtBxuB,v115@vhHc+I+oBilBlnBTpB3qB3rBxxB,v115@vhH/6IZkBFlBfsB6sBWvBUrBTtB,v115@vhHT2I/kBalBUhBtqB2uB3rBxxB,v115@vhHT6I/gBcoBlkB2uBxqBXsBSyB,v115@vhHSBJcpBTlB/rBFnB+tB3sBRvB,v115@vhH/6IKkBemB8nBFlB3rBTtBxuB,v115@vhHT1I/kBFgBRmBftB6tB2uB0qB,v115@vhHT1IdgB/kBRmBftB6tB2uB0qB,v115@vhHc/I5jBdlB+sBKtBTpB3qB3rB,v115@vhHX5IcjBTiBfrBqrB+tBlsBxuB,v115@vhHc+IOkB5oBzlBlnB3pB3rByxB,v115@vhH01I/fBWoBKpBdqB/sBTtBRwB,v115@vhH8/I5oB/pBllB3mBatB2vBTsB,v115@vhHfDJZkBupBcqBFnBXrBSxBTtB,v115@vhHc+I+oBikBzlBlnB3pB3rBxxB,v115@vhH/6IZkBFlBzmBftB6tBWvBUrB,v115@vhHZ6IGZB/jBcpBlnBXqBirBTtB,v115@vhHO6IckBTgBXmB3pBFsBSyBxvB,v115@vhHT+I/kB0mBftB6tB2uBlqBxwB,v115@vhH//IUbBWoBKpBdqB/sBTtBRwB,v115@vhH5+IzfBWmBKpB/tBFqBXrB0sB,v115@vhHT8IKjBOpBXlBxmBUrBFsBXtB,v115@vhH33I8hB+oByqBlnBTpB3rBxxB,v115@vhH5+IykBzgBGnB/tB0pBlqB3rB,v115@vhHi3IfiBUhBzkBtqB2uB3rBxxB,v115@vhHZ/I/jBalB+pBlnB3qBUsBTtB,v115@vhHZ6IanB/oBUlBFmBftBTpBWxB,v115@vhHT9IZkBdoBupBcqB3mBXsBSyB
OLITJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OLITJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
OLITSJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OLITSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OLITZJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
OLITZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
OLIJTSZ,X,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
OLIJTZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
OLIJSTZ,O,O,O,O,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,O,O
OLIJSZT,O,O,O,X,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O
OLIJZTS,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X
OLIJZST,O,O,O,X,O,X,X,O,X,O,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O
OLISTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
OLISTZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
OLISJTZ,O,O,O,O,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,O,O
OLISJZT,O,O,O,X,O,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,O
OLISZTJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O
OLISZJT,X,O,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,O
OLIZTJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X
OLIZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
OLIZJTS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X
OLIZJST,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,O,X,O,X,X,O,O,X,O,O,O,X,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,O,O,X,O,O,O,O,O,X,X,O,X,X,X,O,O
OLIZSTJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,O,O,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O
OLIZSJT,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O,X,O,X,X,X,O,O
OLJTISZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X
OLJTIZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X
OLJTSIZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X
OLJTSZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
OLJTZIS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
OLJTZSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
OLJITSZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X
OLJITZS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X
OLJISTZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,O,O
OLJISZT,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,O,O,X,O,O,O,O,O,X,X,O,X,X,O,O,O
OLJIZTS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,O,O,X
OLJIZST,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,O,O,X,O,O,O,O,O,X,X,O,X,X,O,O,O
OLJSTIZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,O
OLJSTZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,O
OLJSITZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,O
OLJSIZT,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,O,O,X,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,O,O,O
OLJSZTI,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O
OLJSZIT,X,X,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,O,O,O
OLJZTIS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X
OLJZTSI,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X
OLJZITS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,O,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X
OLJZIST,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,X,O,O,X,X,O,O,O
OLJZSTI,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O
OLJZSIT,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O
OLSTIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
OLSTIZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
OLSTJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
OLSTJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
OLSTZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
OLSTZJI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
OLSITJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
OLSITZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
OLSIJTZ,O,O,O,O,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,O,O
OLSIJZT,O,O,O,X,O,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,O,O,X,O,O,O,O,O,X,O,X,X,X,O,O
OLSIZTJ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O
OLSIZJT,X,O,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,O,O,X,O,O,O,O,O,X,O,X,X,X,O,O
