sequence,v115@vhHU7IvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJ3dB+tBtsByrBTkByuBRwB,v115@vhHT5I5oBdtBCnBsqBXlBOpBywB,v115@vhHMBJvfB6tBWrBdqBKpBzsBRwB,v115@vhHMDJvhB+tBtsByrBTkByuBRwB,v115@vhHO6I5fB0gBNqBKpBTtBSxBXrB,v115@vhH++IvfBMnB6tBdqBKpBzsBRwB,v115@vhHK6IMjBvlB+tBtsBTkByuBRwB,v115@vhHT1IZkB6tBPtBmmB0lBtpBSwB,v115@vhHT1IZkBGoBimB6qBtpBUtB3rB,v115@vhHT1IZkB6tBPtBsrBOrB6qBtpB,v115@vhH6+IUbBvfBToBdqBKpBWyBRwB,v115@vhH01IvfB6tBWrBdqBKpBzsBRwB,v115@vhHX5IMjB+tBtsByrBTkByuBRwB,v115@vhHa+IPoBOkBzkBSyBFsBUrBxuB,v115@vhHT5IvfBMoBunBdqBKpBSyBRwB,v115@vhHT1IMjBifB+tBtsB3kByuBRwB,v115@vhH6+IsiBvfBToBdqBKpBWyBRwB,v115@vhH6IJzhBKtB+sB3lBMpBlrBRvB,v115@vhHTDJanBWtBFmBUlBvpBSwBxxB,v115@vhHPIJymBOkBzkBSyBFsBUrBxuB,v115@vhHzCJ6kB+tB3mBMqBKpBlsBRwB,v115@vhHUDJOkBFnBRlBTtBSxBCrB3pB,v115@vhH6+I0VBvfBToBdqBKpBWyBRwB,v115@vhHTDJPnBylBKpBGtBFrBUqBRxB,v115@vhHzCJPnBylBKpBGtBFrBUqBRxB,v115@vhHG5IKaBvjBtnBKpBTtBUsBRqB,v115@vhHa9ITjBPnBKpBGtBFrBUqBRxB,v115@vhHa9IziBPnBKpBGtBFrBUqBRxB,v115@vhH++I0VBvfB6tBdqBKpBzsBRwB,v115@vhHX5IKaBMjB+tBtsBTkByuBRwB,v115@vhHK9I0hB+kBNrBTlBSyBXsBxuB,v115@vhH++IUbBvfB6tBdqBKpBzsBRwB,v115@vhHK6IMjB3dB+tBtsBTkByuBRwB,v115@vhHT5IUbBvfBGjBdqBKpBSyBRwB,v115@vhHx8IslB+tBtrBzkBKpB3sByvB,v115@vhHx7IPnBCoBdrBKpBTtBWxBUqB,v115@vhHx7IWnBXoBdrBKpBSyBzrBUqB,v115@vhHT5I0VBvfBGjBdqBKpBSyBRwB,v115@vhH++I6tBTnB9rB3lBMpByxBRvB,v115@vhH6+IKjB+sB3lBMpBTtBlrBRvB,v115@vhHT5I6oBKtB+sB3lBMpBlrBRvB,v115@vhH66IKfB+tB3mBMqBlsBTpBRwB,v115@vhHT1I6kB+tB3mBMqBKpBlsBRwB,v115@vhHT5IMoBunBdsBXmBKpBSyBxvB,v115@vhHK6IykB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPnB2pBTtBSxBFrBxuB,v115@vhH5+IejBPnBKpBTtBSxBFrBUqB,v115@vhHa7IqfB+tB3mBMqBlsBTpBRwB,v115@vhHa+IPoBzlBspBOpBSyBFsBxvB,v115@vhHe+I3hBKkBznBdsBSyBUrBxuB,v115@vhHq6I5oBUhBtqBzkByxB3rB2uB,v115@vhHX5ITVBMjBKkB+tBtsByuBRwB,v115@vhH6DJ3hBZkBznBdsBSyBUrBWvB,v115@vhHyCJPmBUoBzmBKpBWyBFqBRwB,v115@vhHqAJPoBzfB2pBSyBFsBUrBxuB,v115@vhHSAJPoBzlBspBOpBSyBFsBxvB,v115@vhHU8IXjBdnBStBuqBTrBipBxxB,v115@vhH38IWmBTfBdsBypBSyBUrBxuB,v115@vhHG5IvjBtnBZkBKrBTtBUsBCqB,v115@vhHe9IxbBvsBqrBdrBKpBTtBUqB,v115@vhHi1IMfB5oBdlB+rBisB3qBTpB,v115@vhH01IvfBGjBznBdqBKpBSyBRwB,v115@vhHX5IMjBzfBKkB+tBtsByuBRwB,v115@vhH01IvfBCjBToBdqBKpBWyBRwB,v115@vhHU9IynBTfB+tBtrB3sBipBRvB,v115@vhHqGJPmBzfBUoBKpBWyBFqBRwB,v115@vhH01I+jBvfB6sBdqBKpBTtBRwB,v115@vhHPIJzhB5lBKrB0kBSyBFsB2uB,v115@vhHa+IznBdsBXmBspBOpBSyBxvB,v115@vhHq6IynB+tBTlBMpB3sBlrBRvB,v115@vhHq6IvoB0nBqqBzkBlrB2uBxxB,v115@vhHe+IMkBinBXlBTtBSxBFrBxuB,v115@vhHT5ItiBMoBRmBKqBOpBSyBXsB,v115@vhHe9IvfBMnB6tBdqBKpBzsBRwB,v115@vhHq7IMjBvlB+tBtsBTkByuBRwB,v115@vhHqCJukBvsBUmBNqBKpBTtBRwB,v115@vhHe9IvfBMoBTnBdqBKpBSyBRwB,v115@vhHG3IzbB3hBKkBdsBSyBUrBxuB,v115@vhHT3IqbB3hBZkBdsBSyBUrBWvB,v115@vhHi3IzcB5oBUhBtqByxB3rB2uB,v115@vhHK/IXjBsmB+tBlsBiqBTpBRwB,v115@vhHS+I5oBPlBdtBKrB+qBUsBTpB,v115@vhHPAJKfBsmB+tBlsBiqBTpBRwB,v115@vhHK6IPoBzlBspBOpBSyBFsBxvB,v115@vhHX5IMjBKfB+tBtsBiqBTpBRwB,v115@vhHS8IumBvtBTnBdrBKpBUqBRxB,v115@vhHK/IulBvtBUnBNrBKqBTpBRxB,v115@vhHG5IvjBiaBtnBKpBTtBUsBRqB,v115@vhH+/IThBCoBdsBXlBSyBUrBxuB,v115@vhH+/IThBCoBdsB0lBSyB3pBxvB,v115@vhHKDJukBvsBUmBNqBKpBTtBRwB,v115@vhH+DJ6kBvsBUmBNqBKpBTtBRwB,v115@vhHM/I5oBmiBdlBSsByxB3qBTpB,v115@vhHS+I5oBPmBdtBaqBUsBWwBTpB,v115@vhH26IsmBZkBznBtpBSyBywB3qB,v115@vhHq6I6tBPtB0mBtqBzkB2uBxwB,v115@vhH++I0VBvfBToBdqBKpBSwBxxB,v115@vhH01IvfB5oBznBdqBKpB2xBSwB,v115@vhH01IvfBSoBdqBKpBTtBGsBRwB,v115@vhHT1ISmBPlBZkBdsBSyBUrBWvB,v115@vhHT4IMoBunBdsBXmBKpBSyBxvB,v115@vhH01IvfBTjBWtBdqBKpBSwBxxB,v115@vhHi6IMoB9lB3fBSyBxrB2vBTpB,v115@vhHx2IUcBtlBvsBqrB2pBTtByvB,v115@vhH28IslBPlBStBtrByvBTpBxxB,v115@vhHM+ISoBPnBZkBNrBTtBSxBWvB,v115@vhHS8IPoB5mB+tBdrBKpBTsBUqB,v115@vhHSAJZkB6tB0nBFmBupB3rBTqB,v115@vhHMAJTfBxnBFmBGtB3rBSvBipB,v115@vhHMAJ6kBxnBFmBKpBGtB3rBTqB,v115@vhH6+IKfB+tB3mBMqBlsBTpBRwB,v115@vhHK6IPjB5oBNnBKpBzsB0rBGqB,v115@vhHG3I3hBKkBznBdsBSyBUrBxuB,v115@vhHi3I5oBUhBtqBzkByxB3rB2uB,v115@vhH6+IqfB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPmBKpBTtBGsBFqBRwB,v115@vhHM+I5oBPmBznBKpB2xBSwBFqB,v115@vhHPIJzhBZkBKrBUlBSyBFsBWvB,v115@vhHK6IziBPnBKpBGtBFrBUqBRxB,v115@vhH01IKfBGoBRmBNqBisBXrBTpB,v115@vhHa+IPoBzhB2pBSyBFsBUrBxuB,v115@vhHa+I0iBPnB2pBTtBSxBFrBxuB,v115@vhHa+I+nBzhBvtBKpBFrBUqBRxB,v115@vhH69IKjB+sB3lBMpBTtBlrBRvB,v115@vhHi1ItkBZkBGoBasBUmBzsBXqB,v115@vhHG5I5oBdoB3mBilBTkB0sBSvB,v115@vhHK6IPoBOlBTkBSyBFsBUrBxuB,v115@vhHK6ITjBPnBKpBGtBFrBUqBRxB,v115@vhHO6IqfBvsBUmBKpBTtBFqBRwB,v115@vhHKDJPmB0fBKpBTtBGsBFqBRwB,v115@vhHZDJPmB0fB+tBKpBTsBSwBFqB,v115@vhHK/IPnB0gBKqBGtBFrBTpBRxB,v115@vhHZ/IPnB0gBKqB+pBTtBSxBFrB,v115@vhHaAJslBTfB+tB3sBlrBipBRvB,v115@vhHz9ISoBPnBKpBGtBFrBUqBRxB,v115@vhH36IslBykBStBlrB2vBTpBxxB,v115@vhHz6IylBZkB+tBqpB3sBlrB0qB,v115@vhHz6IylBvkBStBlrB0qB2uBxxB,v115@vhH5IJPmBzfBetBMsBKpBSwBFqB,v115@vhHKCJMoBXmBmkBSyBFsBTpBxvB,v115@vhHT8IMoBPmBWsBKpBSyBFqBRwB,v115@vhH26IPoBTfBypBSyBFsBUrBxuB,v115@vhHZ6IufBPoBKqBSyBFsBUrBTpB,v115@vhHS+I6oBskBznB3rBlqB2uBxxB,v115@vhHZ6IMoBWnBKqBSyBXsBFrBTpB,v115@vhH5+IMnBWmBKpBTtBSxBXrBFqB
SOLTJZI,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLTZIJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLTZJI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLITJZ,O,X,X,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLITZJ,O,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLIJTZ,O,X,X,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,O,O,O,X,X,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O
SOLIJZT,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X,X,O,O,O,X,O,X,O,O,O,X,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,O,O,X,O,O,O,O,X,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O,X,O,O
SOLIZTJ,O,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLIZJT,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,O,O,O,X,O,X,O,O,O,X,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O
SOLJTIZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLJTZI,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLJITZ,O,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
SOLJIZT,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,O,X,O,O
SOLJZTI,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLJZIT,O,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,O,O
SOLZTIJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLZTJI,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLZITJ,O,X,X,O,X,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLZIJT,O,X,X,X,X,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,O,X,O,O,O,X,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLZJTI,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOLZJIT,O,X,X,X,X,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,O,O
SOJTILZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
SOJTIZL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
SOJTLIZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O
SOJTLZI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
SOJTZIL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
SOJTZLI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
SOJITLZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
SOJITZL,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O
SOJILTZ,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
SOJILZT,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,O,O,O,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,O,O,O,X,O,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,O,O,X,O,O,X,X,O,X,O,O,X,X,O,X,O,O
